farm_additional_housing_system_id	code	name	description	air_scrubber
1	AP1.1	AP1.1	Oliefilm met drukleidingen	f
2	AP1.2	AP1.2	Oliefilm met sproeikoppen	f
3	AP1.3	AP1.3	Oliefilm met robot	f
4	AP2.1	AP2.1	Ionisatie met negatieve coronadraden	f
5	AP2.2	AP2.2	Ionisatiefilter	f
6	AP2.3	AP2.3	Ionisatie met koolstofborsteltjes	f
7	AP2.4	AP2.4	Ionisatie met negatieve coronadraden (prikkeldraad)	f
8	AP2.5	AP2.5	Ionisatie-units met ingebouwde coronadraden en ingebouwd collectoroppervlak	f
9	AP3.1	AP3.1	Droogtunnel met geperforeerde banden	f
10	AP3.2	AP3.2	Droogtunnel met geperforeerde metalen platen	f
11	AP3.3	AP3.3	Mestdroogsysteem met geperforeerde doek	f
12	AP4.1	AP4.1	Uitbroeden eieren en opfokken vleeskuikens tot 13 dagen	f
13	AP4.2	AP4.2	Uitbroeden eieren en opfokken vleeskuikens tot 19 dagen	f
14	AP100.1	AP100.1	Droogfilterwand	f
15	AP100.2	AP100.2	Strooiselschuif	f
16	AP100.3	AP100.3	Luchtconditioneringsunit	f
17	AP100.4	AP100.4	Warmtewisselaar; 1–95% reductie PM10	f
18	AP100.5	AP100.5	Stoffilter met 99% verwijdering PM10	f
19	AR1.1	AR1.1	Beweiden	f
20	AV1.1	AV1.1	Schuine wanden in mestkanaal	f
21	AV1.2	AV1.2	Schuine wanden in mestkanaal	f
22	AV1.3	AV1.3	Schuine wanden in mestkanaal	f
23	AV100.1	AV100.1	Drijvende ballen in mest	f
24	LW1.1	LW1.1	Biologisch luchtwassysteem	t
25	LW1.2	LW1.2	Biologisch luchtwassysteem	t
26	LW1.3	LW1.3	Biologisch luchtwassysteem	t
27	LW1.4	LW1.4	Biologisch luchtwassysteem	t
28	LW1.5	LW1.5	Biologisch luchtwassysteem	t
29	LW1.6	LW1.6	Biofilter	t
30	LW1.7	LW1.7	Biofilter waarvoor voor 1 januari 2024 een omgevingsvergunning is verleend als bedoeld in artikel 2.1, eerste lid, aanhef en onder e, van de Wet algemene bepalingen omgevingsrecht of waarvoor tussen 1 januari 2024 en 20 juli 2025 een omgevingsvergunning voor een milieubelastende activiteit is verleend, of, als een vergunning niet nodig was, dat rechtmatig in gebruik is genomen voor 20 juli 2025.	t
31	LW2.1	LW2.1	Chemisch luchtwassysteem	t
32	LW2.2	LW2.2	Chemisch luchtwassysteem	t
33	LW2.3	LW2.3	Chemisch luchtwassysteem	t
34	LW2.4	LW2.4	Chemisch luchtwassysteem	t
35	LW2.5	LW2.5	Chemisch luchtwassysteem	t
36	LW2.6	LW2.6	Chemisch luchtwassysteem	t
37	LW2.7	LW2.7	Chemisch luchtwassysteem	t
38	LW2.8	LW2.8	Chemisch luchtwassysteem	t
39	LW2.9	LW2.9	Chemisch luchtwassysteem	t
40	LW2.10	LW2.10	Chemisch luchtwassysteem	t
41	LW3.1	LW3.1	Water luchtwassysteem	t
42	LW4.1	LW4.1	Biologische luchtwassysteem met watergordijn	t
43	LW4.2	LW4.2	Biologisch en water luchtwassysteem met geurverwijderingssectie	t
44	LW4.3	LW4.3	Biologisch en chemisch luchtwassysteem met biofilter	t
45	LW4.4	LW4.4	Chemisch luchtwassysteem (lamellenfilter) en water luchtwassysteem	t
46	LW4.5	LW4.5	Chemisch en water luchtwassysteem met biofilter	t
47	LW4.6	LW4.6	Chemisch en water luchtwassysteem met biofilter	t
